EmployeeNumber,Department,JobRole,Gender,JobLevel,MonthlyIncome,OverTime,JobSatisfaction,WorkLifeBalance,YearsSinceLastPromotion,Attrition,risk_score,risk_band
170,Research & Development,Manufacturing Director,Female,2,6567,No,1,2,5,No,0.051204340123905984,Faible
171,Research & Development,Research Scientist,Female,1,4739,No,3,3,1,No,0.20978166106477922,Faible
174,Sales,Sales Executive,Female,3,9208,No,4,3,2,No,0.4792296797432096,Moyen
175,Sales,Sales Executive,Female,2,4559,Yes,3,3,2,Yes,0.9495264862146681,Élevé
176,Sales,Sales Executive,Male,3,8189,Yes,3,3,0,No,0.3740846030296857,Moyen
177,Human Resources,Human Resources,Female,1,2942,No,3,3,5,No,0.11062145989777647,Faible
178,Research & Development,Manufacturing Director,Male,2,4941,No,2,3,0,No,0.35131392064222794,Moyen
179,Research & Development,Manufacturing Director,Male,3,10650,No,4,3,0,Yes,0.16004325443579775,Faible
182,Sales,Sales Executive,Female,2,5902,No,3,4,5,No,0.059469411942871475,Faible
183,Sales,Sales Executive,Male,2,8639,No,3,3,2,No,0.5981635500434133,Moyen
184,Human Resources,Human Resources,Male,2,6347,Yes,4,1,4,No,0.1979502406791463,Faible
190,Research & Development,Laboratory Technician,Female,1,4200,No,1,4,0,Yes,0.7875339309466505,Élevé
192,Research & Development,Research Scientist,Male,1,3452,No,4,2,0,No,0.2704224381186406,Faible
193,Research & Development,Research Scientist,Female,2,4317,Yes,3,3,2,No,0.5885994322292796,Moyen
194,Research & Development,Research Scientist,Female,1,2632,No,3,2,0,No,0.21969216296402255,Faible
195,Sales,Sales Executive,Male,2,4668,No,4,4,0,No,0.04792359136623924,Faible
197,Research & Development,Research Scientist,Female,1,3204,No,1,3,2,No,0.1838714479203717,Faible
198,Research & Development,Laboratory Technician,Male,1,2720,No,4,3,1,No,0.24417709904432183,Faible
199,Research & Development,Manager,Male,4,17181,No,1,2,7,No,0.21974414368735182,Faible
200,Research & Development,Laboratory Technician,Male,1,2238,No,1,3,1,No,0.3964917754676502,Moyen
201,Research & Development,Laboratory Technician,Female,1,1483,No,2,3,0,No,0.48595649624915205,Moyen
202,Research & Development,Research Scientist,Female,2,5605,No,2,3,2,No,0.05067714647034229,Faible
204,Sales,Sales Executive,Male,3,7295,No,2,3,0,No,0.1656260255438958,Faible
205,Sales,Sales Representative,Male,2,2306,Yes,3,1,4,No,0.7089256144626475,Élevé
206,Research & Development,Laboratory Technician,Male,2,2348,No,2,1,0,No,0.14761536781034187,Faible
207,Sales,Sales Executive,Female,3,8998,No,4,3,3,No,0.31968825571390314,Faible
208,Research & Development,Manufacturing Director,Male,2,4319,No,3,3,0,No,0.02024180170738919,Faible
211,Research & Development,Manufacturing Director,Male,2,6132,No,3,3,0,No,0.09513798357048335,Faible
214,Research & Development,Research Scientist,Female,1,3346,Yes,2,2,0,No,0.5542175908227642,Moyen
215,Sales,Sales Executive,Male,3,10855,No,4,2,2,No,0.26975953302527644,Faible
216,Sales,Sales Representative,Female,1,2231,No,3,3,1,No,0.6149454701521707,Moyen
217,Research & Development,Research Scientist,Male,1,2323,No,4,3,2,No,0.11572953180574469,Faible
218,Research & Development,Research Scientist,Male,1,2024,No,2,1,2,No,0.1637176263559353,Faible
221,Research & Development,Research Scientist,Male,1,2713,No,4,1,0,No,0.16533771520900348,Faible
223,Research & Development,Healthcare Representative,Male,3,9439,Yes,4,1,1,No,0.35108061909747246,Moyen
224,Research & Development,Research Scientist,Male,1,2566,Yes,3,2,0,No,0.289602146354298,Faible
226,Research & Development,Manager,Female,5,19926,No,2,3,4,No,0.04852406903424023,Faible
227,Research & Development,Research Scientist,Male,1,2451,No,3,3,1,No,0.10876524990347677,Faible
228,Sales,Sales Executive,Female,3,9419,No,4,3,7,No,0.15688684428173602,Faible
230,Sales,Sales Executive,Female,2,8686,No,4,4,0,No,0.2834165168280626,Faible
231,Research & Development,Research Scientist,Male,1,3038,No,3,3,1,No,0.40083710110484305,Moyen
233,Research & Development,Research Scientist,Male,1,3058,Yes,2,2,1,No,0.471321074440509,Moyen
235,Sales,Sales Representative,Female,1,2325,No,1,4,0,Yes,0.9388652665735878,Élevé
238,Research & Development,Laboratory Technician,Male,1,2088,No,2,2,7,No,0.6854928162256145,Élevé
239,Research & Development,Laboratory Technician,Male,2,3072,No,1,3,6,No,0.21975093508196786,Faible
240,Sales,Sales Executive,Female,2,5006,Yes,1,4,0,No,0.597460072837756,Moyen
241,Research & Development,Research Scientist,Female,1,4257,Yes,1,3,2,No,0.137939508134314,Faible
242,Research & Development,Research Scientist,Male,1,2500,No,4,4,0,No,0.16703119571062672,Faible
243,Research & Development,Laboratory Technician,Male,1,1102,No,4,2,1,Yes,0.8208161537148553,Élevé
244,Sales,Sales Executive,Female,3,10453,No,1,3,15,No,0.18160074769058146,Faible
245,Research & Development,Laboratory Technician,Female,1,2288,No,4,3,2,No,0.3269871116492321,Faible
246,Research & Development,Research Scientist,Female,1,3929,Yes,4,3,0,No,0.6745070835103252,Élevé
247,Research & Development,Research Scientist,Female,1,2311,No,2,3,1,No,0.16642355889367882,Faible
248,Sales,Sales Representative,Female,1,3140,Yes,2,2,0,Yes,0.9067078492683154,Élevé
249,Research & Development,Laboratory Technician,Male,1,3690,No,3,2,0,No,0.18798846938152272,Faible
250,Research & Development,Manufacturing Director,Female,2,4450,No,1,3,1,No,0.03240873669661823,Faible
252,Research & Development,Research Scientist,Female,1,2756,No,2,3,1,No,0.017697513411402934,Faible
253,Research & Development,Manager,Female,5,19033,No,3,3,9,No,0.01684707480546863,Faible
254,Research & Development,Research Director,Male,5,18722,No,2,3,2,No,0.013259916263712042,Faible
256,Research & Development,Manufacturing Director,Male,2,9547,No,3,2,1,No,0.022749605472985383,Faible
258,Research & Development,Healthcare Representative,Female,4,13734,No,2,3,1,No,0.030444414064505335,Faible
259,Research & Development,Manager,Male,5,19999,No,3,3,11,No,0.013533954671443721,Faible
260,Research & Development,Research Scientist,Female,1,2279,No,2,2,0,No,0.057650434734676126,Faible
261,Research & Development,Manufacturing Director,Male,2,5916,Yes,3,3,0,Yes,0.8813657097036005,Élevé
262,Research & Development,Research Scientist,Male,1,2089,No,4,4,2,No,0.010432309696283459,Faible
264,Research & Development,Manager,Male,4,16792,No,4,3,11,No,0.24085980129860082,Faible
267,Research & Development,Research Scientist,Male,1,3564,Yes,1,2,1,No,0.5223404519235082,Moyen
269,Research & Development,Laboratory Technician,Female,2,4425,No,2,3,1,No,0.7605592005006613,Élevé
270,Research & Development,Manufacturing Director,Female,2,5265,No,3,3,0,No,0.035541503382115654,Faible
271,Research & Development,Manufacturing Director,Male,2,6553,No,3,3,0,No,0.21407318765613875,Faible
273,Research & Development,Manufacturing Director,Male,2,6261,No,4,1,1,No,0.09572336007082334,Faible
274,Research & Development,Manufacturing Director,Male,2,4298,No,1,3,2,No,0.6307049666293647,Moyen
275,Research & Development,Manufacturing Director,Male,2,6804,Yes,4,3,1,No,0.12625005204591358,Faible
277,Research & Development,Research Scientist,Male,1,3815,Yes,3,4,2,No,0.3579193960972015,Moyen
281,Research & Development,Laboratory Technician,Male,2,2741,Yes,4,4,3,No,0.8275617555095167,Élevé
282,Research & Development,Healthcare Representative,Male,2,6673,Yes,1,3,0,Yes,0.8394356343586903,Élevé
283,Sales,Sales Executive,Female,3,7639,No,4,2,1,Yes,0.191477243840016,Faible
284,Research & Development,Research Scientist,Male,1,2328,Yes,2,2,2,No,0.398845423789631,Moyen
286,Research & Development,Laboratory Technician,Female,1,2153,No,4,3,1,No,0.5796510037049417,Moyen
287,Research & Development,Healthcare Representative,Male,2,4876,No,4,1,0,No,0.24752620472740472,Faible
288,Research & Development,Healthcare Representative,Male,3,9396,No,1,3,0,No,0.08627743192343597,Faible
291,Sales,Sales Executive,Male,3,10400,No,4,2,9,Yes,0.28397530070298654,Faible
292,Research & Development,Manufacturing Director,Male,3,8474,No,3,3,5,No,0.1185388166374553,Faible
293,Sales,Sales Executive,Female,2,9981,No,3,3,0,No,0.17919624147880098,Faible
296,Research & Development,Research Director,Male,3,12490,No,2,1,4,No,0.03302323066664819,Faible
297,Research & Development,Research Scientist,Female,1,2657,Yes,1,3,0,Yes,0.6618031216533554,Élevé
298,Sales,Manager,Female,3,13591,Yes,4,3,0,No,0.3420527841248196,Moyen
299,Sales,Sales Executive,Female,2,6696,No,1,2,0,Yes,0.9360112777303814,Élevé
300,Research & Development,Research Scientist,Male,1,2058,No,3,2,1,Yes,0.11176955069413438,Faible
302,Sales,Sales Executive,Female,3,8865,No,4,3,12,No,0.3526242784374429,Moyen
303,Sales,Sales Executive,Female,2,5940,No,1,3,0,No,0.035919886346634,Faible
304,Research & Development,Laboratory Technician,Male,2,5914,No,2,4,3,No,0.2337349056960932,Faible
305,Research & Development,Research Scientist,Female,1,2622,No,2,3,1,No,0.3528223230409708,Moyen
306,Research & Development,Research Director,Male,3,12185,Yes,4,3,0,No,0.12095726881730452,Faible
307,Sales,Sales Executive,Male,3,10609,No,3,2,5,No,0.0434597427057266,Faible
308,Research & Development,Manufacturing Director,Male,2,4345,No,3,3,1,No,0.06736981609560132,Faible
309,Research & Development,Research Scientist,Male,1,2177,No,4,3,0,No,0.07502185865780174,Faible
311,Sales,Sales Representative,Male,1,2793,No,4,3,5,No,0.5242743976756107,Moyen
312,Sales,Sales Executive,Female,3,7918,No,4,3,4,No,0.10045372462457736,Faible
314,Sales,Sales Executive,Female,3,8789,No,3,4,0,No,0.23410084656771246,Faible
315,Research & Development,Research Scientist,Male,1,2389,Yes,4,2,0,Yes,0.686157923642875,Élevé
316,Research & Development,Laboratory Technician,Female,1,3212,No,4,2,2,No,0.5041614886796207,Moyen
319,Research & Development,Manager,Male,5,19232,No,4,3,11,No,0.018775060740365463,Faible
321,Human Resources,Human Resources,Male,1,2267,No,3,2,2,No,0.33849786853975655,Moyen
323,Sales,Manager,Female,5,19517,No,4,2,0,No,0.007562844972819306,Faible
325,Research & Development,Laboratory Technician,Male,1,2436,Yes,4,1,0,Yes,0.7805420299183661,Élevé
327,Sales,Manager,Female,4,16064,Yes,4,3,1,No,0.17406511425623414,Faible
328,Research & Development,Laboratory Technician,Female,1,2707,No,1,4,1,Yes,0.5892952409509314,Moyen
329,Sales,Manager,Male,5,19068,Yes,3,4,15,No,0.5982768692881599,Moyen
330,Sales,Sales Representative,Female,1,3931,No,2,3,1,No,0.2712924406467725,Faible
331,Research & Development,Laboratory Technician,Male,1,3730,Yes,3,1,1,Yes,0.7915031799712675,Élevé
332,Research & Development,Laboratory Technician,Female,1,2232,No,3,3,1,No,0.18557667301105907,Faible
333,Sales,Sales Executive,Male,2,4465,No,4,3,2,No,0.5193757066167379,Moyen
334,Research & Development,Research Scientist,Male,2,3072,No,1,2,0,No,0.07812361684958205,Faible
335,Research & Development,Research Scientist,Male,2,3319,No,4,3,4,No,0.09056235759726562,Faible
336,Research & Development,Manager,Male,5,19202,No,4,3,1,No,0.010108882042997236,Faible
337,Research & Development,Research Director,Male,3,13675,No,3,3,2,No,0.5129648648976547,Moyen
338,Research & Development,Research Scientist,Female,1,2911,No,4,2,0,No,0.06244399845352813,Faible
339,Research & Development,Manufacturing Director,Male,2,5957,No,1,3,5,No,0.21589546646755958,Faible
340,Research & Development,Research Scientist,Female,1,3920,No,1,2,0,No,0.04676490406547121,Faible
341,Research & Development,Manufacturing Director,Male,2,6434,No,3,3,0,No,0.12113904515069145,Faible
342,Research & Development,Manufacturing Director,Male,3,10048,No,3,3,0,Yes,0.34139693773227375,Moyen
343,Research & Development,Healthcare Representative,Female,3,10938,No,3,3,11,No,0.263418270356508,Faible
346,Research & Development,Research Scientist,Male,1,2340,No,4,3,1,No,0.14277494009231784,Faible
347,Research & Development,Research Scientist,Female,2,6545,Yes,1,3,0,No,0.4658526115634195,Moyen
349,Sales,Sales Executive,Male,2,6931,No,4,3,0,No,0.14935293085870022,Faible
350,Research & Development,Manufacturing Director,Female,2,4898,No,3,3,1,No,0.06404901605238351,Faible
351,Research & Development,Laboratory Technician,Female,1,2593,Yes,1,3,7,No,0.5789855697442342,Moyen
352,Research & Development,Research Director,Male,5,19436,No,3,3,3,No,0.003555624268711433,Faible
353,Research & Development,Research Scientist,Male,1,2723,No,4,2,0,No,0.1197427967545715,Faible
355,Research & Development,Laboratory Technician,Male,1,3479,No,2,4,1,Yes,0.8645328773356401,Élevé
359,Research & Development,Laboratory Technician,Male,1,2794,No,2,1,0,No,0.5751232574960413,Moyen
361,Sales,Sales Executive,Male,2,5249,No,4,3,7,No,0.08186363262623289,Faible
362,Research & Development,Laboratory Technician,Male,2,2176,No,1,3,0,No,0.6897169720748957,Élevé
363,Sales,Manager,Female,4,16872,Yes,2,2,7,No,0.5308554968564217,Moyen
364,Research & Development,Laboratory Technician,Male,1,3485,No,3,1,0,Yes,0.722762068668091,Élevé
366,Sales,Sales Executive,Male,2,6644,No,2,3,0,No,0.25395484779209904,Faible
367,Research & Development,Healthcare Representative,Male,2,5582,No,4,3,7,No,0.32668021621067095,Faible
369,Research & Development,Healthcare Representative,Male,2,4000,No,1,3,1,No,0.0828623064329804,Faible
372,Research & Development,Healthcare Representative,Male,4,13496,Yes,4,3,4,No,0.13017831999806978,Faible
373,Research & Development,Laboratory Technician,Male,1,3210,No,4,3,10,No,0.04509334186651419,Faible
374,Research & Development,Manager,Male,5,19045,Yes,1,3,4,No,0.05231745869069348,Faible
376,Research & Development,Manager,Male,3,11849,Yes,2,2,9,Yes,0.7221067089830566,Élevé
377,Research & Development,Research Scientist,Male,1,2070,No,4,2,0,No,0.035835228245434475,Faible
378,Sales,Sales Executive,Male,2,6502,No,4,4,0,No,0.2863995808729756,Faible
379,Research & Development,Research Scientist,Male,1,3230,No,3,4,1,No,0.20931350386188433,Faible
380,Research & Development,Research Director,Female,3,13603,Yes,4,3,0,No,0.09449432377107127,Faible
381,Research & Development,Manager,Female,3,11996,No,2,2,6,No,0.27602135950014556,Faible
382,Sales,Sales Executive,Female,2,5605,Yes,1,3,7,No,0.8136405956966201,Élevé
384,Research & Development,Manufacturing Director,Female,2,6397,No,2,1,1,No,0.12885579573602826,Faible
385,Research & Development,Research Director,Male,5,19144,No,2,2,1,No,0.015479453915042204,Faible
386,Research & Development,Research Director,Male,4,17584,Yes,3,2,1,No,0.02778520053827183,Faible
387,Sales,Sales Executive,Male,2,4907,No,3,3,11,No,0.18271825307651804,Faible
388,Sales,Sales Executive,Male,2,4554,No,4,2,0,No,0.27234381250373435,Faible
389,Research & Development,Laboratory Technician,Male,2,5415,Yes,4,3,0,No,0.40636374661904806,Moyen
390,Research & Development,Healthcare Representative,Male,2,4741,Yes,1,3,3,No,0.902149578048433,Élevé
391,Research & Development,Research Scientist,Female,1,2115,No,4,3,5,No,0.01777724465819664,Faible
392,Research & Development,Laboratory Technician,Male,1,3161,Yes,3,1,0,Yes,0.8071870502376006,Élevé
393,Research & Development,Healthcare Representative,Male,2,5745,No,4,3,1,No,0.43383055387924535,Moyen
394,Research & Development,Laboratory Technician,Male,1,2373,Yes,2,3,0,Yes,0.8418155332121837,Élevé
395,Research & Development,Research Scientist,Female,1,3310,No,4,3,0,No,0.0575411838410819,Faible
396,Research & Development,Research Director,Female,5,18665,Yes,1,3,1,No,0.7866083881235008,Élevé
397,Research & Development,Research Scientist,Male,2,4485,No,2,3,7,No,0.5062793801290091,Moyen
399,Sales,Sales Representative,Female,1,2789,No,2,2,2,No,0.6014194475961568,Moyen
